日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1992-02-28,-1.89,-1.76,-1.75,-1.89,232,114000.0,-6.57,17.37,0.37,0.11
1992-03-02,-1.76,-1.8,-1.73,-1.8,2950,2891000.0,-3.98,-2.27,-0.04,1.45
1992-03-03,-1.8,-1.83,-1.79,-1.83,1735,1613550.0,-2.22,-1.67,-0.03,0.85
1992-03-04,-1.83,-1.84,-1.82,-1.84,1970,1792700.12,-1.09,-0.55,-0.01,0.97
1992-03-05,-1.83,-1.83,-1.83,-1.84,2045,1871174.88,-0.54,0.54,0.01,1.01
1992-03-06,-1.84,-1.84,-1.83,-1.84,1650,1493250.0,-0.55,-0.55,-0.01,0.81
1992-03-09,-1.83,-1.86,-1.83,-1.86,1520,1314800.0,-1.63,-1.09,-0.02,0.75
1992-03-10,-1.86,-1.86,-1.85,-1.87,2530,2163150.0,-1.08,0.0,0.0,1.25
1992-03-11,-1.87,-1.86,-1.86,-1.87,2510,2158600.0,-0.54,0.0,0.0,1.24
1992-03-12,-1.86,-1.85,-1.85,-1.86,1655,1456400.0,-0.54,0.54,0.01,0.82
1992-03-13,-1.85,-1.85,-1.85,-1.86,1750,1540000.0,-0.54,0.0,0.0,0.86
1992-03-16,-1.85,-1.86,-1.85,-1.86,1535,1335450.0,-0.54,-0.54,-0.01,0.76
1992-03-17,-1.86,-1.86,-1.86,-1.86,1825,1587750.0,0.0,0.0,0.0,0.9
1992-03-18,-1.86,-1.86,-1.86,-1.86,1530,1321275.0,0.0,0.0,0.0,0.75
1992-03-19,-1.86,-1.86,-1.86,-1.87,2245,1930700.12,-0.54,0.0,0.0,1.11
1992-03-20,-1.86,-1.86,-1.86,-1.87,1855,1586025.0,-0.54,0.0,0.0,0.91
1992-03-23,-1.86,-1.86,-1.85,-1.87,2130,1821150.0,-1.08,0.0,0.0,1.05
1992-03-24,-1.86,-1.87,-1.86,-1.87,1525,1296250.0,-0.54,-0.54,-0.01,0.75
1992-03-25,-1.87,-1.85,-1.85,-1.87,2220,1953600.0,-1.07,1.07,0.02,1.09
1992-03-26,-1.85,-1.84,-1.81,-1.85,3500,3167500.0,-2.16,0.54,0.01,1.72
1992-03-27,-1.84,-1.84,-1.83,-1.84,1937,1762670.12,-0.54,0.0,0.0,0.95
1992-03-30,-1.84,-1.83,-1.82,-1.84,3295,3031400.0,-1.09,0.54,0.01,1.62
1992-03-31,-1.83,-1.82,-1.81,-1.83,3175,3004400.0,-1.09,0.55,0.01,1.56
1992-04-01,-1.81,-1.78,-1.76,-1.82,2660,2739800.0,-3.3,2.2,0.04,1.31
1992-04-02,-1.78,-1.78,-1.78,-1.79,2955,3014100.0,-0.56,0.0,0.0,1.46
1992-04-03,-1.78,-1.8,-1.78,-1.82,2235,2179125.0,-2.25,-1.12,-0.02,1.1
1992-04-06,-1.8,-1.79,-1.79,-1.82,2575,2558450.0,-1.67,0.56,0.01,1.27
1992-04-07,-1.79,-1.8,-1.79,-1.81,2205,2160900.0,-1.12,-0.56,-0.01,1.09
1992-04-08,-1.8,-1.77,-1.77,-1.81,3710,3858399.75,-2.22,1.67,0.03,1.83
1992-04-09,-1.78,-1.72,-1.71,-1.78,3545,4023575.25,-3.95,2.82,0.05,1.75
1992-04-10,-1.72,-1.67,-1.66,-1.72,3700,4569500.0,-3.49,2.91,0.05,1.82
1992-04-13,-1.68,-1.54,-1.52,-1.68,3590,5367050.0,-9.58,7.78,0.13,1.77
1992-04-14,-1.55,-1.55,-1.49,-1.56,4400,6490000.0,-4.55,-0.65,-0.01,2.17
1992-04-15,-1.54,-1.59,-1.54,-1.61,3190,4418150.0,-4.52,-2.58,-0.04,1.57
1992-04-16,-1.6,-1.54,-1.54,-1.64,4405,6541425.0,-6.29,3.14,0.05,2.17
1992-04-17,-1.54,-1.57,-1.54,-1.58,2920,4175600.0,-2.6,-1.95,-0.03,1.44
1992-04-20,-1.58,-1.59,-1.58,-1.61,1135,1571975.0,-1.91,-1.27,-0.02,0.56
1992-04-21,-1.6,-1.59,-1.59,-1.63,2250,3127500.0,-2.52,0.0,0.0,1.11
1992-04-22,-1.59,-1.56,-1.56,-1.61,3170,4580650.0,-3.14,1.89,0.03,1.56
1992-04-23,-1.56,-1.54,-1.52,-1.56,4860,7290000.0,-2.56,1.28,0.02,2.39
1992-04-24,-1.52,-1.53,-1.52,-1.55,5220,7856100.0,-1.95,0.65,0.01,2.57
1992-04-27,-1.53,-1.54,-1.52,-1.56,2425,3601125.0,-2.61,-0.65,-0.01,1.19
1992-04-28,-1.54,-1.55,-1.54,-1.57,1845,2730600.0,-1.95,-0.65,-0.01,0.91
1992-04-29,-1.55,-1.54,-1.54,-1.55,2930,4351050.0,-0.65,0.65,0.01,1.44
1992-04-30,-1.55,-1.54,-1.52,-1.55,3370,5038150.0,-1.95,0.0,0.0,1.66
1992-05-03,-1.53,-1.55,-1.52,-1.56,2965,4373375.0,-2.6,-0.65,-0.01,1.46
1992-05-04,-1.54,-1.55,-1.52,-1.56,2325,3441000.0,-2.58,0.0,0.0,1.15
1992-05-05,-1.54,-1.55,-1.54,-1.56,3490,5165200.0,-1.29,0.0,0.0,1.72
1992-05-06,-1.54,-1.51,-1.46,-1.54,4360,6758000.0,-5.16,2.58,0.04,2.15
1992-05-07,-1.5,-1.54,-1.5,-1.56,1735,2602500.0,-3.97,-1.99,-0.03,0.85
1992-05-08,-1.54,-1.55,-1.51,-1.57,2355,3485400.0,-3.9,-0.65,-0.01,1.16
1992-05-11,-1.54,-1.54,-1.54,-1.56,1670,2479950.0,-1.29,0.65,0.01,0.82
1992-05-12,-1.54,-1.45,-1.44,-1.54,6275,9987175.0,-6.49,5.84,0.09,3.09
1992-05-13,-1.45,-1.36,-1.31,-1.45,8485,15569975.0,-9.66,6.21,0.09,4.18
1992-05-14,-1.36,-1.35,-1.33,-1.4,6650,12402250.0,-5.15,0.74,0.01,3.28
1992-05-15,-1.36,-1.35,-1.33,-1.36,6155,11448300.0,-2.22,0.0,0.0,3.03
1992-05-18,-1.34,-1.31,-1.31,-1.4,5420,10541900.0,-6.67,2.96,0.04,2.67
1992-05-19,-1.3,-1.11,-1.11,-1.3,5420,12628600.0,-14.5,15.27,0.2,2.67
1992-05-20,-1.1,-1.18,-1.09,-1.19,3935,8657000.0,-9.01,-6.31,-0.07,1.94
1992-05-21,-1.17,-1.13,-1.11,-1.26,3895,8900075.0,-12.71,4.24,0.05,1.92
1992-05-22,-1.13,-1.11,-1.07,-1.13,5315,12410525.0,-5.31,1.77,0.02,2.62
1992-05-25,-1.1,-1.09,-1.09,-1.15,4630,10973100.0,-5.41,1.8,0.02,2.28
1992-05-26,-1.1,-1.09,-1.07,-1.13,4935,11720625.0,-5.5,0.0,0.0,2.43
1992-05-27,-1.08,-1.07,-1.02,-1.08,4000,9680000.0,-5.5,1.83,0.02,1.97
1992-05-28,-1.07,-1.08,-1.06,-1.1,3215,7716000.0,-3.74,-0.93,-0.01,1.58
1992-05-29,-1.08,-1.08,-1.08,-1.13,3285,7884000.0,-4.63,0.0,0.0,1.62
1992-06-01,-1.09,-1.11,-1.05,-1.11,2605,6095700.0,-5.56,-2.78,-0.03,1.28
1992-06-02,-1.1,-1.12,-1.1,-1.15,2440,5660800.0,-4.5,-0.9,-0.01,1.2
1992-06-03,-1.12,-1.31,-1.12,-1.31,1590,3100500.0,-16.96,-16.96,-0.19,0.78
1992-06-04,-1.31,-1.18,-1.18,-1.38,2830,6211850.0,-15.27,9.92,0.13,1.39
1992-06-05,-1.18,-1.18,-1.13,-1.18,3135,6897000.0,-4.24,0.0,0.0,1.54
1992-06-08,-1.17,-1.23,-1.17,-1.26,2120,4452000.0,-7.63,-4.24,-0.05,1.04
1992-06-09,-1.23,-1.31,-1.23,-1.32,1540,3003000.0,-7.32,-6.5,-0.08,0.76
1992-06-10,-1.31,-1.28,-1.25,-1.36,2755,5510000.0,-8.4,2.29,0.03,1.36
1992-06-11,-1.28,-1.3,-1.25,-1.31,2470,4828850.0,-4.69,-1.56,-0.02,1.22
1992-06-12,-1.3,-1.29,-1.29,-1.32,2445,4841100.0,-2.31,0.77,0.01,1.2
1992-06-15,-1.29,-1.36,-1.29,-1.37,1175,2173750.0,-6.2,-5.43,-0.07,0.58
1992-06-16,-1.36,-1.44,-1.36,-1.45,1485,2509650.0,-6.62,-5.88,-0.08,0.73
1992-06-17,-1.43,-1.32,-1.31,-1.47,2945,5683850.0,-11.11,8.33,0.12,1.45
1992-06-18,-1.31,-1.37,-1.3,-1.41,4375,8006249.5,-8.33,-3.79,-0.05,2.16
1992-06-19,-1.37,-1.34,-1.34,-1.41,2140,4012500.0,-5.11,2.19,0.03,1.05
1992-06-22,-1.35,-1.41,-1.35,-1.43,1525,2668750.0,-5.97,-5.22,-0.07,0.75
1992-06-23,-1.41,-1.38,-1.38,-1.43,1205,2162975.0,-3.55,2.13,0.03,0.59
1992-06-24,-1.38,-1.39,-1.37,-1.41,1795,3213050.0,-2.9,-0.72,-0.01,0.88
